,data_extract_time,id_leg1,orig_port_code,dest_port_code,depart_date,depart_time,arrive_time,duration_hrs,duration_min,duration_total_min,stops,id_leg2,stops_loc,stops_time,prices_lowfare_USD,prices_lowfareplus_USD,prices_flex_USD,prices_prem_USD,prices_premflex_USD,prices_lowfare_GBP,prices_lowfareplus_GBP,prices_flex_GBP,prices_prem_GBP,prices_premflex_GBP,prices_lowfare_EUR,prices_lowfareplus_EUR,prices_flex_EUR,prices_prem_EUR,prices_premflex_EUR,prices_lowfare_SEK,prices_lowfareplus_SEK,prices_flex_SEK,prices_prem_SEK,prices_premflex_SEK
0,19-05-29 13:24:21,DY7084,LAX,CPH,2019-05-29,19:40,17:05 +1,12.0,25.0,745.0,1,D83226,Oslo,1h 0m,1232.6,1322.6,1298.2,1722.6,1788.2,814.7,864.7,866.6,1106.8,1158.7,925.41,995.41,984.13,1256.37,1315.09,9936.0,10486.0,10568.0,13498.0,14130.0
1,19-05-29 13:24:21,DI7096,LAX,CPH,2019-05-29,19:30,18:15 +1,13.0,45.0,825.0,1,D82908,London,1h 35m,1254.0,1344.0,1406.0,1504.0,1656.0,904.5,954.5,1024.6,1084.5,1204.6,1116.5,1186.5,1252.61,1339.74,1475.85,12001.0,12551.0,13466.0,14404.0,15869.0
2,19-05-29 13:24:21,DY7084,LAX,CPH,2019-05-29,19:40,18:35 +1,13.0,55.0,835.0,1,DY948,Oslo,2h 30m,1232.6,1322.6,1298.2,1722.6,1788.2,814.7,864.7,866.6,1106.8,1158.7,925.41,995.41,984.13,1256.37,1315.09,9936.0,10486.0,10568.0,13498.0,14130.0
3,19-05-29 13:24:21,DY7116,LAX,CPH,2019-05-29,22:00,00:40 +2,17.0,40.0,1060.0,1,D83733,Rome,3h 20m,1185.4,1275.4,1521.0,1815.4,2151.0,946.6,996.6,1211.8,1453.0,1718.2,1023.95,1093.95,1324.48,1473.95,1774.48,11555.0,12105.0,14789.0,17732.0,20966.0
4,19-05-29 13:24:21,DI7096,LAX,CPH,2019-05-29,19:30,23:35 +1,19.0,5.0,1145.0,1,D82914,London,6h 55m,1238.8,1328.8,1406.0,1488.8,1656.0,892.5,942.5,1024.6,1072.5,1204.6,1102.89,1172.89,1252.61,1326.13,1475.85,11855.0,12405.0,13466.0,14258.0,15869.0
0,19-05-29 13:24:41,DI7096,LAX,CPH,2019-05-30,19:30,18:15 +1,13.0,45.0,825.0,1,D82908,London,1h 35m,1269.2,1359.2,1406.0,,,916.5,966.5,1024.6,,,1130.11,1200.11,1252.61,,,12148.0,12698.0,13466.0,,
1,19-05-29 13:24:41,DY7088,LAX,CPH,2019-05-30,15:45,16:40 +1,15.0,55.0,955.0,1,D83209,Stockholm,4h 10m,807.2,897.2,1084.6,1637.2,1714.6,515.1,565.1,693.1,977.8,1039.0,587.17,657.17,788.85,1111.54,1180.83,5851.0,6401.0,7941.0,11251.0,11941.0
2,19-05-29 13:24:41,DY7088,LAX,CPH,2019-05-30,15:45,18:25 +1,17.0,40.0,1060.0,1,D8230,Stockholm,5h 55m,772.5,862.5,1002.2,1602.5,1632.2,487.7,537.7,628.0,950.4,973.9,556.11,626.11,715.08,1080.48,1107.06,5541.0,6091.0,7221.0,10941.0,11221.0
3,19-05-29 13:24:41,,LAX,CPH,2019-05-30,16:35,19:50 +1,18.0,15.0,1095.0,1,,Barcelona,4h 20m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,19-05-29 13:24:41,DI7096,LAX,CPH,2019-05-30,19:30,23:35 +1,19.0,5.0,1145.0,1,D82914,London,6h 55m,1360.4,1450.4,1406.0,,,988.5,1038.5,1024.6,,,1211.78,1281.78,1252.61,,,13027.0,13577.0,13466.0,,
5,19-05-29 13:24:41,DY7088,LAX,CPH,2019-05-30,15:45,20:00 +1,19.0,15.0,1155.0,1,D83213,Stockholm,7h 30m,761.3,851.3,1002.2,1591.3,1632.2,478.9,528.9,628.0,941.6,973.9,546.07,616.07,715.08,1070.44,1107.06,5441.0,5991.0,7221.0,10841.0,11221.0
0,19-05-29 13:24:59,DY7092,LAX,CPH,2019-05-31,16:45,12:25 +1,10.0,40.0,640.0,0,,,,,,1004.9,,,,,829.6,,,,,940.12,,,,,10117.0,,
0,19-05-29 13:25:20,DI7096,LAX,CPH,2019-06-01,19:30,18:15 +1,13.0,45.0,825.0,1,D82908,London,1h 35m,1085.7,1175.7,1375.7,,,809.5,859.5,1014.5,,,935.22,1005.22,1226.05,,,10051.0,10601.0,13181.0,,
1,19-05-29 13:25:20,DY7088,LAX,CPH,2019-06-01,18:00,17:40 +1,14.0,40.0,880.0,1,D83209,Stockholm,2h 55m,873.7,963.7,1084.6,1613.7,1714.6,548.4,598.4,693.1,959.3,1039.0,624.94,694.94,788.85,1090.51,1180.83,6241.0,6791.0,7941.0,11041.0,11941.0
2,19-05-29 13:25:20,DY7088,LAX,CPH,2019-06-01,18:00,18:40 +1,15.0,40.0,940.0,1,D83213,Stockholm,3h 55m,964.4,1054.4,1118.2,1704.4,1748.2,620.1,670.1,719.6,1031.0,1065.5,706.19,776.19,818.96,1171.76,1210.94,7051.0,7601.0,8241.0,11851.0,12241.0
3,19-05-29 13:25:20,,LAX,CPH,2019-06-01,18:25,19:50 +1,16.0,25.0,985.0,1,,Barcelona,2h 30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,19-05-29 13:25:20,DY7088,LAX,CPH,2019-06-01,18:00,19:40 +1,16.0,40.0,1000.0,1,D83215,Stockholm,4h 55m,862.5,952.5,1002.2,1602.5,1632.2,539.5,589.5,628.0,950.4,973.9,614.91,684.91,715.08,1080.48,1107.06,6141.0,6691.0,7221.0,10941.0,11221.0
5,19-05-29 13:25:20,DI7096,LAX,CPH,2019-06-01,19:30,21:45 +1,17.0,15.0,1035.0,1,D82910,London,5h 5m,1085.7,1175.7,1375.7,,,809.5,859.5,1014.5,,,935.22,1005.22,1226.05,,,10051.0,10601.0,13181.0,,
6,19-05-29 13:25:20,DY7116,LAX,CPH,2019-06-01,22:00,00:40 +2,17.0,40.0,1060.0,1,D83733,Rome,3h 20m,1142.5,1232.5,1502.5,1912.5,1912.5,906.2,956.2,1195.7,1525.3,1525.3,986.47,1056.47,1316.47,1586.47,1586.47,11064.0,11614.0,14595.0,18614.0,18614.0
7,19-05-29 13:25:20,DI7096,LAX,CPH,2019-06-01,19:30,23:35 +1,19.0,5.0,1145.0,1,D82914,London,6h 55m,896.0,986.0,1186.0,,,659.6,709.6,864.6,,,765.34,835.34,1056.17,,,8222.0,8772.0,11352.0,,
8,19-05-29 13:25:20,DY7088,LAX,CPH,2019-06-01,18:00,23:00 +1,20.0,0.0,1200.0,1,D83217,Stockholm,8h 15m,840.1,930.1,1002.2,1580.1,1632.2,521.8,571.8,628.0,932.7,973.9,594.84,664.84,715.08,1060.41,1107.06,5941.0,6491.0,7221.0,10741.0,11221.0
0,19-05-29 13:25:40,DY7084,LAX,CPH,2019-06-02,20:30,18:35 +1,13.0,5.0,785.0,1,DY948,Oslo,1h 40m,843.9,933.9,1039.0,1293.9,1369.0,543.5,593.5,678.1,816.7,876.0,617.94,687.94,770.61,927.55,994.81,6627.0,7177.0,8270.0,9959.0,10683.0
1,19-05-29 13:25:40,DI7096,LAX,CPH,2019-06-02,19:30,18:15 +1,13.0,45.0,825.0,1,D82908,London,1h 35m,1162.9,1252.9,1452.9,1922.9,1922.9,870.6,920.6,1075.6,1415.6,1415.6,1004.43,1074.43,1295.26,1714.94,1714.94,10795.0,11345.0,13925.0,18442.0,18442.0
2,19-05-29 13:25:40,DY7084,LAX,CPH,2019-06-02,20:30,19:50 +1,14.0,20.0,860.0,1,D83240,Oslo,2h 55m,901.1,991.1,1039.0,1351.1,1369.0,588.7,638.7,678.1,861.9,876.0,669.19,739.19,770.61,978.8,994.81,7178.0,7728.0,8270.0,10510.0,10683.0
3,19-05-29 13:25:40,DY7084,LAX,CPH,2019-06-02,20:30,23:10 +1,17.0,40.0,1060.0,1,D83242,Oslo,6h 15m,837.9,927.9,1039.0,1287.9,1369.0,538.8,588.8,678.1,812.0,876.0,612.61,682.61,770.61,922.22,994.81,6569.0,7119.0,8270.0,9901.0,10683.0
4,19-05-29 13:25:40,,LAX,CPH,2019-06-02,19:30,23:35 +1,19.0,5.0,1145.0,1,,London,6h 55m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19-05-29 13:26:02,DY7084,LAX,ARN,2019-05-29,19:40,17:30 +1,12.0,50.0,770.0,1,DY4116,Oslo,1h 35m,1208.8,1298.8,1250.5,1698.8,1740.5,795.9,845.9,828.9,1088.0,1121.0,904.06,974.06,941.43,1235.02,1272.39,9531.0,10081.0,9881.0,13093.0,13443.0
1,19-05-29 13:26:02,DY7084,LAX,ARN,2019-05-29,19:40,19:00 +1,14.0,20.0,860.0,1,DY822,Oslo,3h 5m,1173.0,1263.0,1250.5,1663.0,1740.5,767.6,817.6,828.9,1059.7,1121.0,872.03,942.03,941.43,1202.99,1272.39,9231.0,9781.0,9881.0,12793.0,13443.0
2,19-05-29 13:26:02,DI7096,LAX,ARN,2019-05-29,19:30,20:20 +1,15.0,50.0,950.0,1,D82856,London,3h 10m,1285.5,1375.5,1326.3,1535.5,1576.3,929.6,979.6,961.8,1109.6,1141.8,1144.75,1214.75,1181.26,1367.99,1404.5,12139.0,12689.0,12489.0,14542.0,14892.0
3,19-05-29 13:26:02,DY7084,LAX,ARN,2019-05-29,19:40,20:30 +1,15.0,50.0,950.0,1,DY4122,Oslo,4h 35m,1173.0,1263.0,1250.5,1663.0,1740.5,767.6,817.6,828.9,1059.7,1121.0,872.03,942.03,941.43,1202.99,1272.39,9231.0,9781.0,9881.0,12793.0,13443.0
4,19-05-29 13:26:02,DY7098,LAX,ARN,2019-05-29,22:15,00:40 +2,17.0,25.0,1045.0,1,DY4314,Paris,4h 15m,1289.9,1379.9,1359.3,,,1027.5,1077.5,1082.4,,,1023.09,1093.09,1085.23,,,12369.0,12919.0,12969.0,,
5,19-05-29 13:26:02,DI7096,LAX,ARN,2019-05-29,19:30,23:15 +1,18.0,45.0,1125.0,1,D82858,London,6h 5m,1256.3,1346.3,1326.3,1506.3,1576.3,906.5,956.5,961.8,1086.5,1141.8,1118.59,1188.59,1181.26,1341.83,1404.5,11889.0,12439.0,12489.0,14292.0,14892.0
0,19-05-29 13:26:21,DY7088,LAX,ARN,2019-05-30,15:45,11:20 +1,10.0,35.0,635.0,0,,,,659.9,749.9,859.9,,1489.9,405.3,455.3,522.1,,868.0,460.55,530.55,592.94,,984.92,4599.0,5149.0,5999.0,,9999.0
1,19-05-29 13:26:21,DI7096,LAX,ARN,2019-05-30,19:30,20:20 +1,15.0,50.0,950.0,1,D82856,London,3h 10m,1372.9,1462.9,1489.4,,,998.7,1048.7,1090.7,,,1223.0,1293.0,1327.31,,,12889.0,13439.0,14539.0,,
2,19-05-29 13:26:21,DI7096,LAX,ARN,2019-05-30,19:30,23:15 +1,18.0,45.0,1125.0,1,D82858,London,6h 5m,1431.1,1521.1,1326.3,,,1044.6,1094.6,961.8,,,1275.1,1345.1,1181.26,,,13389.0,13939.0,12489.0,,
3,19-05-29 13:26:21,DY7098,LAX,ARN,2019-05-30,20:00,00:40 +2,19.0,40.0,1180.0,1,DY4314,Paris,6h 30m,1220.5,1310.5,1359.3,1510.5,1649.3,972.7,1022.7,1082.4,1205.2,1314.9,960.96,1030.96,1085.23,1270.96,1395.23,11769.0,12319.0,12969.0,14605.0,15805.0
4,19-05-29 13:26:21,DY7108,LAX,ARN,2019-05-30,16:35,22:55 +1,21.0,20.0,1280.0,1,D85522,Barcelona,5h 0m,1555.9,1645.9,1657.8,1815.9,1917.8,1241.5,1291.5,1322.1,1450.3,1530.9,1239.7,1309.7,1330.98,1439.7,1530.98,14929.0,15479.0,15829.0,17475.0,18375.0
5,19-05-29 13:26:21,DY7108,LAX,ARN,2019-05-30,16:35,23:45 +1,22.0,10.0,1330.0,1,DY4254,Barcelona,7h 40m,1555.9,1645.9,1657.8,1815.9,1917.8,1241.5,1291.5,1322.1,1450.3,1530.9,1239.7,1309.7,1330.98,1439.7,1530.98,14929.0,15479.0,15829.0,17475.0,18375.0
0,19-05-29 13:26:40,,LAX,ARN,2019-05-31,19:30,20:20 +1,15.0,50.0,950.0,1,,London,3h 10m,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
1,19-05-29 13:26:40,,LAX,ARN,2019-05-31,20:00,21:05 +1,16.0,5.0,965.0,1,,Barcelona,1h 35m,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
0,19-05-29 13:26:59,DY7088,LAX,ARN,2019-06-01,18:00,13:35 +1,10.0,35.0,635.0,0,,,,749.9,839.9,859.9,,1489.9,457.1,507.1,522.1,,868.0,519.35,589.35,592.94,,984.92,5199.0,5749.0,5999.0,,9999.0
1,19-05-29 13:26:59,,LAX,ARN,2019-06-01,19:30,19:45 +1,15.0,15.0,915.0,1,,London,2h 35m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,19-05-29 13:26:59,,LAX,ARN,2019-06-01,18:25,20:50 +1,17.0,25.0,1045.0,1,,Barcelona,2h 55m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,19-05-29 13:26:59,,LAX,ARN,2019-06-01,19:30,23:50 +1,19.0,20.0,1160.0,1,,London,6h 40m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,19-05-29 13:26:59,,LAX,ARN,2019-06-01,20:00,00:40 +2,19.0,40.0,1180.0,1,,Paris,6h 30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19-05-29 13:27:18,DY7084,LAX,ARN,2019-06-02,20:30,19:00 +1,13.0,30.0,810.0,1,DY822,Oslo,2h 15m,913.0,1003.0,1110.5,1363.0,1440.5,598.1,648.1,734.7,871.3,932.6,679.86,749.86,834.67,989.47,1058.87,7163.0,7713.0,8732.0,10495.0,11145.0
1,19-05-29 13:27:18,DY7084,LAX,ARN,2019-06-02,20:30,20:30 +1,15.0,0.0,900.0,1,DY4122,Oslo,3h 45m,901.1,991.1,1056.9,1351.1,1386.9,588.7,638.7,692.3,861.9,890.2,669.19,739.19,786.63,978.8,1010.83,7063.0,7613.0,8332.0,10395.0,10745.0
2,19-05-29 13:27:18,DI7096,LAX,ARN,2019-06-02,19:30,20:20 +1,15.0,50.0,950.0,1,D82856,London,3h 10m,979.4,1069.4,1269.4,1739.4,1739.4,725.7,775.7,930.7,1270.7,1270.7,840.04,910.04,1130.87,1550.55,1550.55,8645.0,9195.0,12425.0,16292.0,16942.0
3,19-05-29 13:27:18,DY7110,LAX,ARN,2019-06-02,20:00,21:05 +1,16.0,5.0,965.0,1,D85552,Barcelona,1h 35m,1289.0,1379.0,1709.0,1779.0,1779.0,1023.7,1073.7,1360.9,1417.2,1417.2,1093.25,1163.25,1393.25,1443.25,1443.25,12042.0,12592.0,16156.0,16842.0,16842.0
4,19-05-29 13:27:18,,LAX,ARN,2019-06-02,22:15,00:40 +2,17.0,25.0,1045.0,1,,Paris,4h 15m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,19-05-29 13:27:18,DI7096,LAX,ARN,2019-06-02,19:30,23:15 +1,18.0,45.0,1125.0,1,D82858,London,6h 0m,839.5,929.5,1211.1,1599.5,1681.1,615.2,665.2,884.6,1160.2,1224.6,714.81,784.81,1078.66,1425.32,1498.34,7445.0,7995.0,11275.0,15092.0,15792.0
6,19-05-29 13:27:18,DY7110,LAX,ARN,2019-06-02,20:00,23:45 +1,18.0,45.0,1125.0,1,DY4254,Barcelona,4h 15m,1141.8,1231.8,1561.8,1631.8,1631.8,907.3,957.3,1244.5,1300.8,1300.8,961.4,1031.4,1261.4,1311.4,1311.4,10742.0,11292.0,14856.0,15542.0,15542.0
0,19-05-29 13:27:37,DY7098,LAX,CDG,2019-05-29,22:15,17:45 +1,10.0,30.0,630.0,0,,,,,,1089.9,,,,,875.4,,,,,849.9,,,,,10676.0,,
1,19-05-29 13:27:37,DY7084,LAX,CDG,2019-05-29,19:40,20:00 +1,15.0,20.0,920.0,1,DY1498,Oslo,2h 40m,,,1524.8,,2014.8,,,1045.7,,1337.8,,,1187.08,,1518.04,,,12752.0,,16314.0
0,19-05-29 13:27:55,DY7098,LAX,CDG,2019-05-30,20:00,15:30 +1,10.0,30.0,630.0,0,,,,,,1089.9,,1379.9,,,875.4,,1107.9,,,849.9,,1159.9,,,10676.0,,13512.0
1,19-05-29 13:27:55,DY7088,LAX,CDG,2019-05-30,15:45,21:20 +1,20.0,35.0,1235.0,1,DY4313,Stockholm,7h 15m,852.1,942.1,1120.3,1682.1,1750.3,550.7,600.7,721.3,1013.4,1067.2,627.42,697.42,820.88,1151.79,1212.86,6234.0,6784.0,8231.0,11634.0,12231.0
0,19-05-29 13:28:14,DY7100,LAX,CDG,2019-05-31,14:20,09:50 +1,10.0,30.0,630.0,0,,,,639.9,729.9,1089.9,,1379.9,514.6,564.6,875.4,,1107.9,499.9,569.9,849.9,,1159.9,6275.0,6825.0,10676.0,,13512.0
1,19-05-29 13:28:14,DY7098,LAX,CDG,2019-05-31,22:15,17:45 +1,10.0,30.0,630.0,0,,,,709.9,799.9,1089.9,,1379.9,570.7,620.7,875.4,,1107.9,549.9,619.9,849.9,,1159.9,6960.0,7510.0,10676.0,,13512.0
0,19-05-29 13:28:32,,LAX,CDG,2019-06-01,20:00,15:30 +1,10.0,30.0,630.0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,19-05-29 13:28:32,,LAX,CDG,2019-06-01,18:00,21:20 +1,18.0,20.0,1100.0,1,,Stockholm,5h 0m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19-05-29 13:28:51,,LAX,CDG,2019-06-02,22:15,17:45 +1,10.0,30.0,630.0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,19-05-29 13:28:51,,LAX,CDG,2019-06-02,20:30,20:00 +1,14.0,30.0,870.0,1,,Oslo,1h 50m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19-05-29 13:29:11,DI7096,LAX,LGW,2019-05-29,19:30,13:50 +1,10.0,20.0,620.0,0,,,,,,1099.9,,1349.9,,,789.9,,969.9,,,982.99,,1206.23,,,10593.0,,12996.0
1,19-05-29 13:29:11,DY7744,LAX,LGW,2019-05-29,20:00,19:05 +1,15.0,5.0,905.0,1,D86054,Madrid,2h 0m,1335.3,1425.3,1438.1,,,1061.2,1111.2,1141.2,,,1136.65,1206.65,1228.73,,,12952.0,13502.0,13943.0,,
2,19-05-29 13:29:11,DY7084,LAX,LGW,2019-05-29,19:40,20:05 +1,16.0,25.0,985.0,1,D82807,Oslo,3h 50m,,,1423.5,,1913.5,,,965.6,,1257.7,,,1096.34,,1427.3,,,11775.0,,15337.0
0,19-05-29 13:29:30,DI7096,LAX,LGW,2019-05-30,19:30,13:50 +1,10.0,20.0,620.0,0,,,,,,1099.9,,,,,789.9,,,,,982.99,,,,,10593.0,,
1,19-05-29 13:29:30,DY7088,LAX,LGW,2019-05-30,15:45,15:45 +1,16.0,0.0,960.0,1,D82853,Stockholm,2h 50m,1207.9,1297.9,1407.9,2037.9,2037.9,831.9,881.9,948.7,1294.6,1294.6,946.09,1016.09,1078.48,1470.46,1470.46,9284.0,9834.0,10684.0,14684.0,14684.0
2,19-05-29 13:29:30,,LAX,LGW,2019-05-30,16:35,18:40 +1,18.0,5.0,1085.0,1,,Barcelona,4h 55m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,19-05-29 13:29:30,DY7088,LAX,LGW,2019-05-30,15:45,19:15 +1,19.0,30.0,1170.0,1,D82857,Stockholm,6h 20m,1207.9,1297.9,1407.9,2037.9,2037.9,831.9,881.9,948.7,1294.6,1294.6,946.09,1016.09,1078.48,1470.46,1470.46,9284.0,9834.0,10684.0,14684.0,14684.0
0,19-05-29 13:29:48,,LAX,LGW,2019-05-31,19:30,13:50 +1,10.0,20.0,620.0,0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
1,19-05-29 13:29:48,DY7092,LAX,LGW,2019-05-31,16:45,14:25 +1,13.0,40.0,820.0,1,D82903,Copenhagen,1h 5m,,,1343.7,,,,,1090.8,,,,,1238.26,,,,,13302.0,,
2,19-05-29 13:29:48,,LAX,LGW,2019-05-31,20:00,18:40 +1,14.0,40.0,880.0,1,,Barcelona,1h 30m,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
3,19-05-29 13:29:48,DY7744,LAX,LGW,2019-05-31,20:00,19:40 +1,15.0,40.0,940.0,1,D86054,Madrid,2h 35m,,,1809.7,,,,,1412.1,,,,,1561.54,,,,,17525.0,,
0,19-05-29 13:30:07,DI7096,LAX,LGW,2019-06-01,19:30,13:50 +1,10.0,20.0,620.0,0,,,,659.9,749.9,879.9,,,474.9,524.9,629.9,,,553.89,623.89,786.55,,,5975.0,6525.0,8479.0,,
1,19-05-29 13:30:07,,LAX,LGW,2019-06-01,18:00,20:00 +1,18.0,0.0,1080.0,1,,Stockholm,4h 50m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19-05-29 13:30:25,DI7096,LAX,LGW,2019-06-02,19:30,13:50 +1,10.0,20.0,620.0,0,,,,589.9,679.9,879.9,,1349.9,424.9,474.9,629.9,,969.9,495.72,565.72,786.55,,1206.23,5349.0,5899.0,8479.0,,12996.0
1,19-05-29 13:30:25,,LAX,LGW,2019-06-02,20:00,18:40 +1,14.0,40.0,880.0,1,,Barcelona,1h 30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,19-05-29 13:30:25,,LAX,LGW,2019-06-02,20:00,19:20 +1,15.0,20.0,920.0,1,,Madrid,2h 15m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,19-05-29 13:30:25,DY7084,LAX,LGW,2019-06-02,20:30,20:05 +1,15.0,35.0,935.0,1,D82807,Oslo,3h 0m,952.5,1042.5,1155.9,1402.5,1485.9,629.3,679.3,770.6,902.5,968.5,715.2,785.2,875.34,1024.81,1099.54,7674.0,8224.0,9397.0,11006.0,11810.0
0,19-05-29 13:30:44,DI7096,LAX,BCN,2019-05-29,19:30,22:20 +1,17.0,50.0,1070.0,1,D85503,London,5h 30m,,,1469.4,,1719.4,,,1068.5,,1248.5,,,1307.66,,1530.9,,,14047.0,,16450.0
1,19-05-29 13:30:44,DY7084,LAX,BCN,2019-05-29,19:40,23:20 +1,18.0,40.0,1120.0,1,D85523,Oslo,5h 5m,1220.8,1290.8,1339.9,1710.8,1829.9,805.4,855.4,899.5,1097.5,1191.6,914.84,969.84,1021.5,1245.8,1352.46,9822.0,10372.0,10970.0,13384.0,14532.0
0,19-05-29 13:31:04,DY7108,LAX,BCN,2019-05-30,16:35,12:30 +1,10.0,55.0,655.0,0,,,,,,1259.9,,1519.9,,,1013.5,,1222.3,,,979.9,,1179.9,,,12360.0,,14906.0
1,19-05-29 13:31:04,DI7096,LAX,BCN,2019-05-30,19:30,22:20 +1,17.0,50.0,1070.0,1,D85503,London,5h 30m,,,1572.2,,,,,1148.5,,,,,1399.74,,,,,15038.0,,
2,19-05-29 13:31:04,,LAX,BCN,2019-05-30,15:45,19:15 +1,18.0,30.0,1110.0,1,,Stockholm,4h 30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19-05-29 13:31:23,,LAX,BCN,2019-05-31,20:00,15:55 +1,10.0,55.0,655.0,0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
1,19-05-29 13:31:23,,LAX,BCN,2019-05-31,19:30,22:20 +1,17.0,50.0,1070.0,1,,London,5h 30m,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
