,data_extract_time,id_leg1,orig_port_code,dest_port_code,depart_date,depart_time,arrive_time,duration_hrs,duration_min,duration_total_min,stops,id_leg2,stops_loc,stops_time,prices_lowfare_USD,prices_lowfareplus_USD,prices_flex_USD,prices_prem_USD,prices_premflex_USD,prices_lowfare_GBP,prices_lowfareplus_GBP,prices_flex_GBP,prices_prem_GBP,prices_premflex_GBP,prices_lowfare_EUR,prices_lowfareplus_EUR,prices_flex_EUR,prices_prem_EUR,prices_premflex_EUR,prices_lowfare_SEK,prices_lowfareplus_SEK,prices_flex_SEK,prices_prem_SEK,prices_premflex_SEK
2,19-05-29 13:31:23,DY7092,LAX,BCN,2019-05-31,16:45,23:25 +1,21.0,40.0,1300.0,1,D85575,Copenhagen,8h 10m,1114.9,1184.9,1492.5,,,910.0,960.0,1208.4,,,1033.32,1088.32,1371.53,,,11096.0,11646.0,14736.0,,
0,19-05-29 13:31:41,DY7108,LAX,BCN,2019-06-01,18:25,14:20 +1,10.0,55.0,655.0,0,,,,649.9,719.9,999.9,,1199.9,523.7,573.7,804.8,,965.4,539.9,594.9,779.9,,929.9,6386.0,6936.0,9814.0,,11773.0
0,19-05-29 13:32:01,DY7110,LAX,BCN,2019-06-02,20:00,15:55 +1,10.0,55.0,655.0,0,,,,709.9,779.9,1129.9,,1199.9,571.9,621.9,909.1,,965.4,579.9,634.9,879.9,,929.9,6973.0,7523.0,11087.0,,11773.0
1,19-05-29 13:32:01,DI7096,LAX,BCN,2019-06-02,19:30,22:20 +1,17.0,50.0,1070.0,1,D85503,London,5h 30m,663.8,733.8,1185.1,1423.8,1655.1,472.8,522.8,857.8,1017.8,1197.8,555.67,610.67,1053.67,1266.18,1473.35,5954.0,6504.0,11314.0,13601.0,15831.0
0,19-05-29 13:32:20,DY7068,OAK,CPH,2019-05-29,20:30,18:25 +1,12.0,55.0,775.0,1,D8230,Stockholm,1h 40m,829.6,919.6,1084.6,1659.6,1714.6,533.5,583.5,693.7,996.2,1039.6,605.17,675.17,786.77,1129.54,1178.75,6051.0,6601.0,7941.0,11451.0,11941.0
0,19-05-29 13:33:19,DY7070,OAK,CPH,2019-06-01,20:15,15:35 +1,10.0,20.0,620.0,0,,,,,,,,1194.9,,,,,915.5,,,,,1037.4,,,,,11164.0
1,19-05-29 13:33:19,DY7064,OAK,CPH,2019-06-01,19:15,16:30 +1,12.0,15.0,735.0,1,D83224,Oslo,1h 25m,,,,1674.9,1698.8,,,,1069.2,1088.0,,,,1213.67,1235.02,,,,13038.0,13268.0
2,19-05-29 13:33:19,DY7064,OAK,CPH,2019-06-01,19:15,19:55 +1,15.0,40.0,940.0,1,D83240,Oslo,4h 50m,,,,1674.9,1698.8,,,,1069.2,1088.0,,,,1213.67,1235.02,,,,13038.0,13268.0
3,19-05-29 13:33:19,DY7064,OAK,CPH,2019-06-01,19:15,21:25 +1,17.0,10.0,1030.0,1,D83226,Oslo,6h 20m,,,,1593.9,1669.0,,,,1005.1,1064.4,,,,1141.07,1208.33,,,,12257.0,12981.0
4,19-05-29 13:33:19,DY7064,OAK,CPH,2019-06-01,19:15,23:20 +1,19.0,5.0,1145.0,1,D83246,Oslo,8h 15m,,,,1587.9,1669.0,,,,1000.4,1064.4,,,,1135.74,1208.33,,,,12199.0,12981.0
5,19-05-29 13:33:19,DY7078,OAK,CPH,2019-06-01,18:15,00:40 +2,21.0,25.0,1285.0,1,D83733,Rome,7h 15m,1028.8,1118.8,1578.8,2318.8,2318.8,813.5,863.5,1255.7,1850.5,1850.5,884.8,954.8,1384.8,1924.8,1924.8,9933.0,10483.0,15327.0,22581.0,22581.0
0,19-05-29 13:33:38,DY7076,OAK,CPH,2019-06-02,16:00,19:50 +1,18.0,50.0,1130.0,1,D85574,Barcelona,5h 0m,1032.0,1122.0,1562.0,2012.0,2012.0,817.2,867.2,1242.8,1604.0,1604.0,887.97,957.97,1277.97,1627.97,1627.97,9963.0,10513.0,15153.0,19559.0,19559.0
0,19-05-29 13:33:57,DY7068,OAK,ARN,2019-05-29,20:30,15:35 +1,10.0,5.0,605.0,0,,,,659.9,749.9,859.9,,1489.9,405.9,455.9,522.7,,868.6,458.47,528.47,590.86,,982.84,4599.0,5149.0,5999.0,,9999.0
0,19-05-29 13:34:17,DY7076,OAK,ARN,2019-05-30,20:05,22:55 +1,17.0,50.0,1070.0,1,D85522,Barcelona,1h 35m,1425.9,1515.9,1527.8,,,1136.8,1186.8,1217.4,,,1139.7,1209.7,1230.98,,,13653.0,14203.0,14553.0,,
1,19-05-29 13:34:17,DY7076,OAK,ARN,2019-05-30,20:05,23:45 +1,18.0,40.0,1120.0,1,DY4254,Barcelona,4h 15m,1425.9,1515.9,1527.8,,,1136.8,1186.8,1217.4,,,1139.7,1209.7,1230.98,,,13653.0,14203.0,14553.0,,
2,19-05-29 13:34:17,DY7080,OAK,ARN,2019-05-30,20:20,00:40 +2,19.0,20.0,1160.0,1,DY4314,Paris,6h 25m,1090.5,1180.5,1229.3,,,868.5,918.5,978.2,,,860.96,930.96,985.23,,,10498.0,11048.0,11698.0,,
3,19-05-29 13:34:17,DY7078,OAK,ARN,2019-05-30,16:30,00:05 +2,22.0,35.0,1355.0,1,DY4358,Rome,8h 0m,1363.0,1453.0,1397.3,,,1085.2,1135.2,1112.3,,,1191.56,1261.56,1222.28,,,12973.0,13523.0,13273.0,,
0,19-05-29 13:34:35,DY7068,OAK,ARN,2019-05-31,17:00,12:05 +1,10.0,5.0,605.0,0,,,,659.9,749.9,859.9,,1489.9,405.9,455.9,522.7,,868.6,458.47,528.47,590.86,,982.84,4599.0,5149.0,5999.0,,9999.0
0,19-05-29 13:34:54,DY7070,OAK,ARN,2019-06-01,20:15,18:00 +1,12.0,45.0,765.0,1,D83214,Copenhagen,1h 15m,,,,1494.2,1547.5,,,,1145.5,1187.6,,,,1300.13,1347.85,,,,13784.0,14264.0
1,19-05-29 13:34:54,DY7064,OAK,ARN,2019-06-01,19:15,18:00 +1,13.0,45.0,825.0,1,DY820,Oslo,3h 5m,,,,1746.5,1788.2,,,,1125.7,1158.7,,,,1277.73,1315.09,,,,13493.0,13943.0
2,19-05-29 13:34:54,DY7064,OAK,ARN,2019-06-01,19:15,20:00 +1,15.0,45.0,945.0,1,DY4120,Oslo,5h 5m,,,,1639.2,1686.9,,,,1040.9,1078.6,,,,1181.64,1224.35,,,,12593.0,13043.0
3,19-05-29 13:34:54,DY7070,OAK,ARN,2019-06-01,20:15,21:20 +1,16.0,5.0,965.0,1,D83216,Copenhagen,4h 35m,,,,1494.2,1516.1,,,,1145.5,1162.8,,,,1300.13,1319.78,,,,13784.0,13984.0
4,19-05-29 13:34:54,DY7064,OAK,ARN,2019-06-01,19:15,21:00 +1,16.0,45.0,1005.0,1,DY826,Oslo,6h 5m,,,,1639.2,1686.9,,,,1040.9,1078.6,,,,1181.64,1224.35,,,,12593.0,13043.0
5,19-05-29 13:34:54,DY7064,OAK,ARN,2019-06-01,19:15,23:00 +1,18.0,45.0,1125.0,1,DY4126,Oslo,8h 5m,,,,1591.5,1645.1,,,,1003.2,1045.6,,,,1138.94,1186.98,,,,12173.0,12643.0
6,19-05-29 13:34:54,DY7078,OAK,ARN,2019-06-01,18:15,23:25 +1,20.0,10.0,1210.0,1,DY4358,Rome,5h 20m,847.3,937.3,1397.3,2137.3,2137.3,670.1,720.1,1112.3,1707.1,1707.1,722.28,792.28,1222.28,1762.28,1762.28,7879.0,8429.0,13273.0,20527.0,20527.0
0,19-05-29 13:35:13,DY7080,OAK,ARN,2019-06-02,20:20,00:40 +2,19.0,20.0,1160.0,1,DY4314,Paris,6h 25m,706.8,796.8,1229.3,,,560.2,610.2,978.2,,,562.38,632.38,985.23,,,6693.0,7243.0,11698.0,,
1,19-05-29 13:35:13,DY7076,OAK,ARN,2019-06-02,16:00,21:05 +1,20.0,5.0,1205.0,1,D85552,Barcelona,5h 40m,1049.0,1139.0,1579.0,2029.0,2029.0,830.7,880.7,1256.3,1617.5,1617.5,903.25,973.25,1293.25,1643.25,1643.25,9690.0,10240.0,14880.0,19286.0,19286.0
2,19-05-29 13:35:13,DY7076,OAK,ARN,2019-06-02,16:00,23:45 +1,22.0,45.0,1365.0,1,DY4254,Barcelona,8h 20m,901.8,991.8,1431.8,1881.8,1881.8,714.3,764.3,1139.9,1501.1,1501.1,771.4,841.4,1161.4,1511.4,1511.4,8390.0,8940.0,13580.0,17986.0,17986.0
0,19-05-29 13:35:33,DY7068,OAK,CDG,2019-05-29,20:30,21:20 +1,15.0,50.0,950.0,1,DY4313,Stockholm,3h 0m,920.3,1010.3,1120.3,1750.3,1750.3,605.1,655.1,721.9,1067.8,1067.8,686.41,756.41,818.8,1210.78,1210.78,6831.0,7381.0,8231.0,12231.0,12231.0
0,19-05-29 13:35:52,DY7080,OAK,CDG,2019-05-30,20:20,15:35 +1,10.0,15.0,615.0,0,,,,,,959.9,,,,,771.2,,,,,749.9,,,,,9405.0,,
0,19-05-29 13:36:32,DY7080,OAK,CDG,2019-06-01,17:30,12:45 +1,10.0,15.0,615.0,0,,,,639.9,729.9,1089.9,,,514.6,564.6,875.4,,,499.9,569.9,849.9,,,6275.0,6825.0,10676.0,,
1,19-05-29 13:36:32,DY7064,OAK,CDG,2019-06-01,19:15,20:50 +1,16.0,35.0,995.0,1,DY1498,Oslo,4h 30m,,,,,2014.8,,,,,1337.8,,,,,1518.04,,,,,16314.0
0,19-05-29 13:36:52,DY7080,OAK,CDG,2019-06-02,20:20,15:35 +1,10.0,15.0,615.0,0,,,,529.9,619.9,959.9,,,426.4,476.4,771.2,,,409.9,479.9,749.9,,,5200.0,5750.0,9405.0,,
0,19-05-29 13:37:10,DY7068,OAK,LGW,2019-05-29,20:30,19:15 +1,14.0,45.0,885.0,1,D82857,Stockholm,2h 5m,1207.9,1297.9,1407.9,2037.9,2037.9,832.5,882.5,949.3,1295.2,1295.2,944.01,1014.01,1076.4,1468.38,1468.38,9284.0,9834.0,10684.0,14684.0,14684.0
1,19-05-29 13:37:10,DY7068,OAK,LGW,2019-05-29,20:30,22:35 +1,18.0,5.0,1085.0,1,D82859,Stockholm,5h 25m,918.9,1008.9,1234.5,1748.9,1864.5,604.0,654.0,812.2,1066.7,1158.1,685.12,755.12,921.06,1209.49,1313.04,6784.0,7334.0,9184.0,12184.0,13184.0
0,19-05-29 13:37:29,,OAK,LGW,2019-05-30,20:05,18:40 +1,14.0,35.0,875.0,1,,Barcelona,1h 30m,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,
0,19-05-29 13:37:48,DY7068,OAK,LGW,2019-05-31,17:00,22:25 +1,21.0,25.0,1285.0,1,D82859,Stockholm,8h 45m,976.7,1066.7,1234.5,1806.7,1864.5,649.7,699.7,812.2,1112.4,1158.1,736.9,806.9,921.06,1261.27,1313.04,7284.0,7834.0,9184.0,12684.0,13184.0
0,19-05-29 13:38:08,DY7070,OAK,LGW,2019-06-01,20:15,19:55 +1,15.0,40.0,940.0,1,D82909,Copenhagen,3h 20m,,,,,1765.5,,,,,1359.9,,,,,1543.17,,,,,16583.0
1,19-05-29 13:38:08,DY7064,OAK,LGW,2019-06-01,19:15,20:05 +1,16.0,50.0,1010.0,1,D82807,Oslo,4h 50m,,,,,1990.9,,,,,1318.9,,,,,1496.69,,,,,16084.0
2,19-05-29 13:38:08,DY7070,OAK,LGW,2019-06-01,20:15,23:20 +1,19.0,5.0,1145.0,1,D82911,Copenhagen,6h 50m,,,,,1611.0,,,,,1237.8,,,,,1404.75,,,,,15094.0
3,19-05-29 13:38:08,DY7064,OAK,LGW,2019-06-01,19:15,23:10 +1,19.0,55.0,1195.0,1,D82809,Oslo,7h 55m,,,,,1785.9,,,,,1156.9,,,,,1313.06,,,,,14108.0
0,19-05-29 13:38:27,,OAK,LGW,2019-06-02,16:00,18:40 +1,18.0,40.0,1120.0,1,,Barcelona,5h 35m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,19-05-29 13:39:07,DY7076,OAK,BCN,2019-05-30,20:05,15:55 +1,10.0,50.0,650.0,0,,,,,,1129.9,,,,,908.8,,,,,879.9,,,,,11084.0,,
0,19-05-29 13:39:47,,OAK,BCN,2019-06-01,20:15,23:25 +1,18.0,10.0,1090.0,1,,Copenhagen,5h 0m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,19-05-29 13:39:47,DY7064,OAK,BCN,2019-06-01,19:15,23:20 +1,19.0,5.0,1145.0,1,D85523,Oslo,6h 5m,,,,1629.8,1829.9,,,,1033.5,1191.6,,,,1173.21,1352.46,,,,12603.0,14532.0
0,19-05-29 13:40:06,DY7076,OAK,BCN,2019-06-02,16:00,11:50 +1,10.0,50.0,650.0,0,,,,469.9,539.9,999.9,,1449.9,378.9,428.9,804.5,,1165.7,389.9,444.9,779.9,,1129.9,4621.0,5171.0,9811.0,,14217.0
0,19-05-29 13:40:26,DY7012,JFK,CPH,2019-05-29,23:30,13:05 +1,7.0,35.0,455.0,0,,,,,,904.9,,994.9,,,743.7,,817.3,,,842.71,,926.15,,,9069.0,,9967.0
1,19-05-29 13:40:26,DI7016,JFK,CPH,2019-05-29,23:00,16:25 +1,11.0,25.0,685.0,1,D82906,London,2h 35m,538.8,628.8,1066.0,703.8,1286.0,387.5,437.5,774.6,502.5,934.6,452.72,522.72,948.98,603.68,1145.42,4860.0,5410.0,10201.0,6485.0,12315.0
2,19-05-29 13:40:26,DI7018,JFK,CPH,2019-05-29,22:25,16:25 +1,12.0,0.0,720.0,1,D82906,London,3h 10m,538.8,628.8,1066.0,1118.8,1286.0,387.5,437.5,774.6,802.5,934.6,452.72,522.72,948.98,995.7,1145.42,4860.0,5410.0,10201.0,10704.0,12315.0
3,19-05-29 13:40:26,DI7016,JFK,CPH,2019-05-29,23:00,18:15 +1,13.0,15.0,795.0,1,D82908,London,4h 25m,554.0,644.0,1066.0,719.0,1286.0,399.5,449.5,774.6,514.5,934.6,466.33,536.33,948.98,617.29,1145.42,5006.0,5556.0,10201.0,6631.0,12315.0
4,19-05-29 13:40:26,DY7704,JFK,CPH,2019-05-29,23:55,19:40 +1,13.0,45.0,825.0,1,D86112,Madrid,3h 25m,971.0,1061.0,1268.9,1271.0,1438.9,772.8,822.8,1009.9,1013.7,1146.4,822.51,892.51,1082.83,1102.51,1252.83,9420.0,9970.0,12311.0,12358.0,13976.0
5,19-05-29 13:40:26,DI7018,JFK,CPH,2019-05-29,22:25,18:15 +1,13.0,50.0,830.0,1,D82908,London,5h 0m,554.0,644.0,1066.0,1134.0,1286.0,399.5,449.5,774.6,814.5,934.6,466.33,536.33,948.98,1009.31,1145.42,5006.0,5556.0,10201.0,10850.0,12315.0
0,19-05-29 13:40:45,DI7018,JFK,CPH,2019-05-30,22:10,14:20 +1,10.0,10.0,610.0,1,D82906,London,1h 20m,654.0,744.0,1066.0,1134.0,1286.0,469.5,519.5,774.6,814.5,934.6,547.78,617.78,948.98,1009.31,1145.42,5883.0,6433.0,10201.0,10850.0,12315.0
1,19-05-29 13:40:45,DY7002,JFK,CPH,2019-05-30,22:05,15:00 +1,10.0,55.0,655.0,1,DY940,Oslo,2h 25m,1038.8,1128.8,1074.5,,,682.9,732.9,711.2,,,775.95,845.95,807.98,,,8328.0,8878.0,8673.0,,
2,19-05-29 13:40:45,DY7006,JFK,CPH,2019-05-30,23:30,16:40 +1,11.0,10.0,670.0,1,D83209,Stockholm,2h 20m,747.2,837.2,984.6,1037.2,1114.6,476.2,526.2,632.5,631.9,693.1,543.3,613.3,720.38,719.69,788.98,5451.0,6001.0,7241.0,7251.0,7941.0
3,19-05-29 13:40:45,DY7006,JFK,CPH,2019-05-30,23:30,18:25 +1,12.0,55.0,775.0,1,D8230,Stockholm,4h 5m,712.5,802.5,902.2,1002.5,1032.2,448.8,498.8,567.4,604.5,628.0,512.24,582.24,646.61,688.63,715.21,5141.0,5691.0,6521.0,6941.0,7221.0
4,19-05-29 13:40:45,DY7002,JFK,CPH,2019-05-30,22:05,17:05 +1,13.0,0.0,780.0,1,D83226,Oslo,4h 30m,1026.9,1116.9,1074.5,,,673.5,723.5,711.2,,,765.28,835.28,807.98,,,8213.0,8763.0,8673.0,,
5,19-05-29 13:40:45,DI7016,JFK,CPH,2019-05-30,23:00,18:15 +1,13.0,15.0,795.0,1,D82908,London,4h 25m,619.2,709.2,1066.0,1149.2,1286.0,441.5,491.5,774.6,826.5,934.6,514.84,584.84,948.98,1022.92,1145.42,5529.0,6079.0,10201.0,10997.0,12315.0
6,19-05-29 13:40:45,DY7704,JFK,CPH,2019-05-30,23:55,19:40 +1,13.0,45.0,825.0,1,D86112,Madrid,3h 25m,1070.5,1160.5,1268.9,1240.5,1438.9,853.1,903.1,1009.9,989.6,1146.4,905.18,975.18,1082.83,1075.18,1252.83,10399.0,10949.0,12311.0,12064.0,13976.0
7,19-05-29 13:40:45,DY7700,JFK,CPH,2019-05-30,00:05,19:55,13.0,50.0,830.0,1,D83541,Amsterdam,5h 30m,,,,1305.8,1351.4,,,,1038.6,1074.7,,,,1113.52,1154.35,,,,12664.0,13103.0
8,19-05-29 13:40:45,DI7018,JFK,CPH,2019-05-30,22:10,18:15 +1,14.0,5.0,845.0,1,D82908,London,5h 15m,669.2,759.2,1066.0,1149.2,1286.0,481.5,531.5,774.6,826.5,934.6,561.39,631.39,948.98,1022.92,1145.42,6030.0,6580.0,10201.0,10997.0,12315.0
9,19-05-29 13:40:45,DY7002,JFK,CPH,2019-05-30,22:05,18:35 +1,14.0,30.0,870.0,1,DY948,Oslo,6h 0m,1062.6,1152.6,1128.2,,,701.7,751.7,753.6,,,797.3,867.3,856.02,,,8558.0,9108.0,9190.0,,
0,19-05-29 13:41:04,DY7012,JFK,CPH,2019-05-31,22:05,11:40 +1,7.0,35.0,455.0,0,,,,,,904.9,,,,,743.7,,,,,842.71,,,,,9069.0,,
1,19-05-29 13:41:04,DY7002,JFK,CPH,2019-05-31,23:30,18:00 +1,12.0,30.0,750.0,1,DY948,Oslo,4h 0m,1037.3,1127.3,1079.0,,,673.5,723.5,706.4,,,765.28,835.28,802.64,,,8213.0,8763.0,8615.0,,
2,19-05-29 13:41:04,DY7700,JFK,CPH,2019-05-31,00:05,19:55,13.0,50.0,830.0,1,D83541,Amsterdam,5h 30m,,,,1184.2,1351.4,,,,942.6,1074.7,,,,1004.63,1154.35,,,,11492.0,13103.0
0,19-05-29 13:41:25,DI7016,JFK,CPH,2019-06-01,23:00,15:25 +1,10.0,25.0,625.0,1,D82904,London,1h 35m,,,,,1685.7,,,,,1234.5,,,,,1502.77,,,,,16161.0
1,19-05-29 13:41:25,DY7002,JFK,CPH,2019-06-01,22:05,15:00 +1,10.0,55.0,655.0,1,DY940,Oslo,2h 25m,1025.3,1115.3,1079.0,,,664.1,714.1,706.4,,,754.6,824.6,802.64,,,8098.0,8648.0,8615.0,,
2,19-05-29 13:41:25,DY7002,JFK,CPH,2019-06-01,22:05,16:30 +1,12.0,25.0,745.0,1,D83224,Oslo,3h 55m,1084.9,1174.9,1108.8,,,711.2,761.2,730.0,,,807.98,877.98,829.33,,,8672.0,9222.0,8902.0,,
3,19-05-29 13:41:25,DI7016,JFK,CPH,2019-06-01,23:00,18:15 +1,13.0,15.0,795.0,1,D82908,London,4h 25m,,,,,1685.7,,,,,1234.5,,,,,1502.77,,,,,16161.0
4,19-05-29 13:41:25,,JFK,CPH,2019-06-01,23:55,19:20 +1,13.0,25.0,805.0,1,,Madrid,3h 5m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,19-05-29 13:41:25,DY7002,JFK,CPH,2019-06-01,22:05,19:55 +1,15.0,50.0,950.0,1,D83240,Oslo,7h 20m,1084.9,1174.9,1108.8,,,711.2,761.2,730.0,,,807.98,877.98,829.33,,,8672.0,9222.0,8902.0,,
6,19-05-29 13:41:25,DI7016,JFK,CPH,2019-06-01,23:00,21:45 +1,16.0,45.0,1005.0,1,D82910,London,7h 55m,,,,,1685.7,,,,,1234.5,,,,,1502.77,,,,,16161.0
7,19-05-29 13:41:25,DY7002,JFK,CPH,2019-06-01,22:05,21:25 +1,17.0,20.0,1040.0,1,D83226,Oslo,8h 50m,1003.9,1093.9,1079.0,,,647.1,697.1,706.4,,,735.38,805.38,802.64,,,7891.0,8441.0,8615.0,,
8,19-05-29 13:41:25,DI7014,JFK,CPH,2019-06-01,12:45,12:10 +1,17.0,25.0,1045.0,1,D82906,London,8h 35m,756.0,846.0,1066.0,,,549.6,599.6,774.6,,,637.34,707.34,948.98,,,6847.0,7397.0,10201.0,,
0,19-05-29 13:41:45,DY7012,JFK,CPH,2019-06-02,22:05,11:40 +1,7.0,35.0,455.0,0,,,,,,,,1094.9,,,,,902.1,,,,,1022.24,,,,,11001.0
1,19-05-29 13:41:45,DY7002,JFK,CPH,2019-06-02,23:30,15:00 +1,9.0,30.0,570.0,1,DY940,Oslo,1h 0m,909.2,999.2,939.0,1239.2,1269.0,588.7,638.7,612.2,843.0,866.5,669.19,739.19,695.88,957.44,984.13,7178.0,7728.0,7466.0,10280.0,10568.0
2,19-05-29 13:41:45,DI7016,JFK,CPH,2019-06-02,23:00,16:25 +1,11.0,25.0,685.0,1,D82906,London,2h 35m,945.7,1035.7,1255.7,1475.7,1475.7,699.5,749.5,924.5,1084.5,1084.5,807.22,877.22,1118.86,1315.3,1315.3,8676.0,9226.0,12030.0,14144.0,14144.0
3,19-05-29 13:41:45,,JFK,CPH,2019-06-02,21:55,15:25 +1,11.0,30.0,690.0,1,,Stockholm,2h 40m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,19-05-29 13:41:45,DY7002,JFK,CPH,2019-06-02,23:30,17:05 +1,11.0,35.0,695.0,1,D83226,Oslo,3h 5m,863.9,953.9,939.0,1193.9,1269.0,552.9,602.9,612.2,807.2,866.5,628.62,698.62,695.88,916.87,984.13,6742.0,7292.0,7466.0,9844.0,10568.0
5,19-05-29 13:41:45,DI7018,JFK,CPH,2019-06-02,22:10,16:25 +1,12.0,15.0,735.0,1,D82906,London,3h 25m,1055.7,1145.7,1325.7,1475.7,1475.7,779.5,829.5,974.5,1084.5,1084.5,900.31,970.31,1181.32,1315.3,1315.3,9677.0,10227.0,12702.0,14144.0,14144.0
6,19-05-29 13:41:45,,JFK,CPH,2019-06-02,21:55,16:40 +1,12.0,45.0,765.0,1,,Stockholm,3h 55m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,19-05-29 13:41:45,DY7002,JFK,CPH,2019-06-02,23:30,18:35 +1,13.0,5.0,785.0,1,DY948,Oslo,4h 35m,863.9,953.9,939.0,1193.9,1269.0,552.9,602.9,612.2,807.2,866.5,628.62,698.62,695.88,916.87,984.13,6742.0,7292.0,7466.0,9844.0,10568.0
8,19-05-29 13:41:45,DI7016,JFK,CPH,2019-06-02,23:00,18:15 +1,13.0,15.0,795.0,1,D82908,London,4h 25m,1022.9,1112.9,1332.9,1552.9,1552.9,760.6,810.6,985.6,1145.6,1145.6,876.43,946.43,1188.07,1384.51,1384.51,9420.0,9970.0,12774.0,14888.0,14888.0
9,19-05-29 13:41:45,DY7704,JFK,CPH,2019-06-02,23:55,19:40 +1,13.0,45.0,825.0,1,D86112,Madrid,3h 25m,807.8,897.8,1423.0,1147.8,1453.0,640.4,690.4,1130.5,913.4,1154.6,688.17,758.17,1231.48,1008.17,1281.48,7806.0,8356.0,13783.0,11136.0,14077.0
0,19-05-29 13:42:06,DI7016,JFK,ARN,2019-05-29,23:00,16:30 +1,11.0,30.0,690.0,1,D82854,London,2h 10m,672.9,762.9,1091.1,837.9,1311.1,493.7,543.7,794.6,608.7,954.6,572.83,642.83,971.47,723.79,1167.91,5894.0,6444.0,10124.0,7519.0,12238.0
1,19-05-29 13:42:06,DY7012,JFK,ARN,2019-05-29,23:30,17:05 +1,11.0,35.0,695.0,1,DY4162,Copenhagen,2h 50m,1133.7,1223.7,1179.2,1223.7,1269.2,918.0,968.0,953.9,991.6,1027.5,1042.35,1112.35,1083.02,1125.79,1166.46,11059.0,11609.0,11469.0,11957.0,12367.0
2,19-05-29 13:42:06,DI7018,JFK,ARN,2019-05-29,22:25,16:30 +1,12.0,5.0,725.0,1,D82854,London,2h 45m,672.9,762.9,1091.1,1252.9,1311.1,493.7,543.7,794.6,908.7,954.6,572.83,642.83,971.47,1115.81,1167.91,5894.0,6444.0,10124.0,11738.0,12238.0
3,19-05-29 13:42:06,DY7704,JFK,ARN,2019-05-29,23:55,18:35 +1,12.0,40.0,760.0,1,D86092,Madrid,1h 40m,1010.9,1100.9,1255.2,1310.9,1425.2,804.4,854.4,999.1,1045.3,1135.6,858.24,928.24,1070.63,1138.24,1240.63,9602.0,10152.0,11875.0,12540.0,13540.0
4,19-05-29 13:42:06,DY7012,JFK,ARN,2019-05-29,23:30,20:10 +1,14.0,40.0,880.0,1,D8231,Copenhagen,5h 55m,1086.7,1176.7,1179.2,1176.7,1269.2,880.8,930.8,953.9,954.4,1027.5,1000.18,1070.18,1083.02,1083.62,1166.46,10639.0,11189.0,11469.0,11537.0,12367.0
5,19-05-29 13:42:06,DI7016,JFK,ARN,2019-05-29,23:00,20:20 +1,15.0,20.0,920.0,1,D82856,London,6h 0m,585.5,675.5,986.3,750.5,1206.3,424.6,474.6,711.8,539.6,871.8,494.58,564.58,877.63,645.54,1074.07,5144.0,5694.0,9224.0,6769.0,11338.0
6,19-05-29 13:42:06,DI7018,JFK,ARN,2019-05-29,22:25,20:20 +1,15.0,55.0,955.0,1,D82856,London,6h 35m,585.5,675.5,986.3,1165.5,1206.3,424.6,474.6,711.8,839.6,871.8,494.58,564.58,877.63,1037.56,1074.07,5144.0,5694.0,9224.0,10988.0,11338.0
